system,load,request_id,planned_offset_s,actual_send_s,ttft_s,e2el_s,completed_s,input_length,success,error,prompt_tokens_match
afd_mbt65536,1x,formal-1-000000,0.0,0.001205,3.088759,3.088813,3.090018,21687,True,,True
afd_mbt65536,1x,formal-1-000001,0.0,0.026959,2.741376,2.741455,2.768414,17525,True,,True
afd_mbt65536,1x,formal-1-000002,3.0,3.003388,2.609778,2.609837,5.613225,16221,True,,True
afd_mbt65536,1x,formal-1-000003,3.0,3.003186,5.546604,5.54665,8.549835,5989,True,,True
afd_mbt65536,1x,formal-1-000004,3.0,3.002942,1.185386,1.18543,4.188372,8735,True,,True
afd_mbt65536,1x,formal-1-000005,3.0,3.001158,4.6574,4.657431,7.658589,38465,True,,True
afd_mbt65536,1x,formal-1-000006,3.0,3.003089,5.089477,5.089518,8.092607,4436,True,,True
afd_mbt65536,1x,formal-1-000007,3.0,3.002566,0.902141,0.902187,3.904753,6077,True,,True
afd_mbt65536,1x,formal-1-000008,3.0,3.002718,0.562633,0.562681,3.565399,892,True,,True
afd_mbt65536,1x,formal-1-000009,3.0,3.000818,4.251305,4.251348,7.252166,31362,True,,True
afd_mbt65536,1x,formal-1-000010,3.0,3.002418,0.893846,0.893892,3.89631,5613,True,,True
afd_mbt65536,1x,formal-1-000011,6.001,6.003741,2.823116,2.823153,8.826893,9289,True,,True
afd_mbt65536,1x,formal-1-000012,6.001,6.003227,3.277168,3.277202,9.280429,23182,True,,True
afd_mbt65536,1x,formal-1-000013,6.001,6.002635,1.664208,1.66424,7.666874,12202,True,,True
afd_mbt65536,1x,formal-1-000014,6.001,6.001753,1.71829,1.718328,7.720081,14310,True,,True
afd_mbt65536,1x,formal-1-000015,6.001,6.002432,1.028264,1.028308,7.030739,4564,True,,True
afd_mbt65536,1x,formal-1-000016,6.001,6.002786,0.788256,0.788299,6.791085,942,True,,True
afd_mbt65536,1x,formal-1-000017,6.001,6.003093,2.981238,2.981275,8.984368,17748,True,,True
afd_mbt65536,1x,formal-1-000018,9.001,9.00309,2.351639,2.351668,11.354758,10932,True,,True
afd_mbt65536,1x,formal-1-000019,9.001,9.003304,1.191313,1.191351,10.194655,2791,True,,True
afd_mbt65536,1x,formal-1-000020,9.001,9.002405,1.073895,1.073932,10.076337,4558,True,,True
afd_mbt65536,1x,formal-1-000021,9.001,9.001549,1.10399,1.104026,10.105575,5144,True,,True
afd_mbt65536,1x,formal-1-000022,9.001,9.002762,0.964042,0.964074,9.966836,980,True,,True
afd_mbt65536,1x,formal-1-000023,9.001,9.004104,2.838519,2.83858,11.842684,12200,True,,True
afd_mbt65536,1x,formal-1-000024,9.001,9.002863,2.606433,2.606474,11.609336,14977,True,,True
afd_mbt65536,1x,formal-1-000025,9.001,9.001821,1.516635,1.516673,10.518494,11562,True,,True
afd_mbt65536,1x,formal-1-000026,9.001,9.002546,2.266876,2.266916,11.269462,20289,True,,True
afd_mbt65536,1x,formal-1-000027,12.001,12.002009,2.493356,2.4934,14.495409,22917,True,,True
afd_mbt65536,1x,formal-1-000028,12.001,12.001828,1.212042,1.212085,13.213913,4389,True,,True
afd_mbt65536,1x,formal-1-000029,12.001,12.003137,1.232356,1.232393,13.23553,2770,True,,True
afd_mbt65536,1x,formal-1-000030,12.001,12.00248,3.983689,3.983729,15.986209,27541,True,,True
afd_mbt65536,1x,formal-1-000031,12.001,12.002884,1.814541,1.814582,13.817466,13667,True,,True
afd_mbt65536,1x,formal-1-000032,12.001,12.002676,1.218492,1.218525,13.221201,5767,True,,True
afd_mbt65536,1x,formal-1-000033,12.001,12.002765,1.242398,1.242426,13.245191,5868,True,,True
afd_mbt65536,1x,formal-1-000034,12.001,12.004035,3.514963,3.515022,15.519058,22284,True,,True
afd_mbt65536,1x,formal-1-000035,12.001,12.002305,5.674714,5.674756,17.677061,37393,True,,True
afd_mbt65536,1x,formal-1-000036,15.001,15.004094,2.216658,2.216712,17.220806,3445,True,,True
afd_mbt65536,1x,formal-1-000037,15.001,15.003502,3.687444,3.68749,18.690992,1653,True,,True
afd_mbt65536,1x,formal-1-000038,15.001,15.00397,3.445549,3.445583,18.449553,12007,True,,True
afd_mbt65536,1x,formal-1-000039,15.001,15.003013,3.44665,3.446688,18.449701,19875,True,,True
afd_mbt65536,1x,formal-1-000040,15.001,15.003389,7.279648,7.279701,22.28309,60250,True,,True
afd_mbt65536,1x,formal-1-000041,15.001,15.002615,7.280614,7.280659,22.283274,4312,True,,True
afd_mbt65536,1x,formal-1-000042,15.001,15.00319,0.698998,0.699038,15.702227,935,True,,True
afd_mbt65536,1x,formal-1-000043,15.001,15.002071,3.627064,3.627099,18.629169,5917,True,,True
afd_mbt65536,1x,formal-1-000044,15.001,15.002413,2.495122,2.495153,17.497565,21152,True,,True
afd_mbt65536,1x,formal-1-000045,15.001,15.0043,3.695981,3.696012,18.700312,6175,True,,True
afd_mbt65536,1x,formal-1-000046,15.001,15.002766,2.484221,2.48426,17.487026,21763,True,,True
afd_mbt65536,1x,formal-1-000047,15.001,15.003634,2.217252,2.2173,17.220934,3102,True,,True
afd_mbt65536,1x,formal-1-000048,18.0,18.001312,3.813566,3.813598,21.81491,27003,True,,True
afd_mbt65536,1x,formal-1-000049,18.0,18.002461,3.255756,3.255794,21.258255,15663,True,,True
afd_mbt65536,1x,formal-1-000050,18.0,18.001436,1.705133,1.705173,19.706609,4641,True,,True
afd_mbt65536,1x,formal-1-000051,18.0,18.000502,1.033786,1.033834,19.034336,1248,True,,True
afd_mbt65536,1x,formal-1-000052,18.0,18.001703,3.256338,3.256374,21.258078,14774,True,,True
afd_mbt65536,1x,formal-1-000053,18.0,18.002731,1.924285,1.924328,19.927059,894,True,,True
afd_mbt65536,1x,formal-1-000054,18.0,18.000705,1.92616,1.926197,19.926901,895,True,,True
afd_mbt65536,1x,formal-1-000055,21.001,21.00443,1.985678,1.985712,22.990141,1247,True,,True
afd_mbt65536,1x,formal-1-000056,21.001,21.003795,2.550678,2.550732,23.554527,11233,True,,True
afd_mbt65536,1x,formal-1-000057,21.001,21.00318,1.001043,1.001072,22.004252,5249,True,,True
afd_mbt65536,1x,formal-1-000058,21.001,21.003411,2.000216,2.000257,23.003668,8223,True,,True
afd_mbt65536,1x,formal-1-000059,21.001,21.002714,1.764242,1.764284,22.766999,2726,True,,True
afd_mbt65536,1x,formal-1-000060,21.001,21.002554,3.608521,3.608572,24.611126,27579,True,,True
afd_mbt65536,1x,formal-1-000061,21.001,21.002409,0.975518,0.975553,21.977963,4921,True,,True
afd_mbt65536,1x,formal-1-000062,21.001,21.002221,0.779747,0.779785,21.782006,960,True,,True
afd_mbt65536,1x,formal-1-000063,21.001,21.00305,3.608154,3.608205,24.611256,912,True,,True
afd_mbt65536,1x,formal-1-000064,21.001,21.003313,2.551502,2.55153,23.554843,4744,True,,True
afd_mbt65536,1x,formal-1-000065,24.001,24.002862,1.719015,1.719086,25.721948,15689,True,,True
afd_mbt65536,1x,formal-1-000066,24.001,24.003028,1.300032,1.300073,25.3031,11116,True,,True
afd_mbt65536,1x,formal-1-000067,24.001,24.00263,2.967494,2.967539,26.970169,30467,True,,True
afd_mbt65536,1x,formal-1-000068,24.001,24.0024,2.460981,2.461024,26.463424,24652,True,,True
afd_mbt65536,1x,formal-1-000069,27.0,27.001486,1.279276,1.279317,28.280803,8183,True,,True
afd_mbt65536,1x,formal-1-000070,27.0,27.002701,0.950438,0.950484,27.953185,1751,True,,True
afd_mbt65536,1x,formal-1-000071,27.0,27.000334,0.937683,0.937737,27.938072,1467,True,,True
afd_mbt65536,1x,formal-1-000072,27.0,27.001092,1.45094,1.450994,28.452085,10959,True,,True
afd_mbt65536,1x,formal-1-000073,27.0,27.002122,1.146435,1.146481,28.148604,4975,True,,True
afd_mbt65536,1x,formal-1-000074,27.0,27.001936,3.131416,3.131466,30.133402,31789,True,,True
afd_mbt65536,1x,formal-1-000075,30.0,30.002456,0.721402,0.72146,30.723916,3920,True,,True
afd_mbt65536,1x,formal-1-000076,30.0,30.001792,0.612193,0.612255,30.614047,999,True,,True
afd_mbt65536,1x,formal-1-000077,30.0,30.002878,0.827093,0.827145,30.830023,5065,True,,True
afd_mbt65536,1x,formal-1-000078,30.0,30.002702,1.620638,1.620684,31.623386,15590,True,,True
afd_mbt65536,1x,formal-1-000079,33.001,33.004583,2.187209,2.187257,35.19184,5461,True,,True
afd_mbt65536,1x,formal-1-000080,33.001,33.00345,0.898275,0.898339,33.901789,903,True,,True
afd_mbt65536,1x,formal-1-000081,33.001,33.003143,3.36109,3.361155,36.364298,18958,True,,True
afd_mbt65536,1x,formal-1-000082,33.001,33.002437,1.432731,1.432779,34.435216,11293,True,,True
afd_mbt65536,1x,formal-1-000083,33.001,33.003658,4.788191,4.788227,37.791885,38877,True,,True
afd_mbt65536,1x,formal-1-000084,33.001,33.004091,1.675702,1.675753,34.679845,3302,True,,True
afd_mbt65536,1x,formal-1-000085,33.001,33.003893,0.983714,0.983774,33.987667,4976,True,,True
afd_mbt65536,1x,formal-1-000086,33.001,33.003784,1.437911,1.437942,34.441726,12211,True,,True
afd_mbt65536,1x,formal-1-000087,33.001,33.002899,1.12219,1.122242,34.125141,7887,True,,True
afd_mbt65536,1x,formal-1-000088,33.001,33.002714,0.906197,0.906228,33.908943,3102,True,,True
afd_mbt65536,1x,formal-1-000089,36.001,36.00508,1.508653,1.508695,37.513775,1999,True,,True
afd_mbt65536,1x,formal-1-000090,36.001,36.002925,0.779395,0.77945,36.782375,3360,True,,True
afd_mbt65536,1x,formal-1-000091,36.001,36.003308,1.024928,1.024965,37.028274,7213,True,,True
afd_mbt65536,1x,formal-1-000092,36.001,36.002686,1.020411,1.02045,37.023137,7107,True,,True
afd_mbt65536,1x,formal-1-000093,36.001,36.00483,2.099197,2.099233,38.104063,1560,True,,True
afd_mbt65536,1x,formal-1-000094,36.001,36.003531,1.642146,1.642185,37.645716,6296,True,,True
afd_mbt65536,1x,formal-1-000095,36.001,36.002417,0.708628,0.708674,36.711091,1885,True,,True
afd_mbt65536,1x,formal-1-000096,39.001,39.002638,1.580112,1.580151,40.582789,12788,True,,True
afd_mbt65536,1x,formal-1-000097,39.001,39.002922,0.912028,0.912068,39.91499,900,True,,True
